title,author,genre,summary,isbn,price,qty_on_hand,publisher,year,country
"The Great Gatsby",F. Scott Fitzgerald,Classic,"The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.",9780743273565,9.99,10,Penguin Books,1925,United States
"To Kill a Mockingbird",Harper Lee,Classic,"Set in the 1930s, this novel explores racial injustice through the eyes of a young girl named Scout.",9780061120084,12.99,15,HarperCollins,1960,United States
"Pride and Prejudice",Jane Austen,Romance,"A classic tale of love, family, and societal expectations in 19th-century England.",9780141439518,7.99,20,Penguin Classics,1813,United Kingdom
"1984",George Orwell,Dystopian,"A dystopian novel set in a totalitarian society where individualism is suppressed.",9780451524935,10.49,12,Signet Classics,1949,United Kingdom
"The Catcher in the Rye",J.D. Salinger,Coming of Age,"Follows the experiences of a disenchanted teenager named Holden Caulfield in New York City.",9780316769488,8.99,18,Little, Brown and Company,1951,United States
"To the Lighthouse",Virginia Woolf,Modernist,"A pioneering work of modernist literature that explores the inner lives of its characters.",9780156907392,11.99,9,Mariner Books,1927,United Kingdom
"Harry Potter and the Philosopher's Stone",J.K. Rowling,Fantasy,"The first book in the beloved Harry Potter series, following the adventures of a young wizard.",9781408855652,14.99,25,Bloomsbury Publishing,1997,United Kingdom
"The Lord of the Rings",J.R.R. Tolkien,Fantasy,"An epic fantasy trilogy set in the fictional world of Middle-earth, filled with magic and adventure.",9780544003415,29.99,7,Houghton Mifflin Harcourt,1954,United Kingdom
"Brave New World",Aldous Huxley,Dystopian,"A dystopian novel that imagines a future society where people are genetically engineered and divided into castes.",9780060850524,9.49,11,Harper Perennial Modern Classics,1932,United Kingdom
"The Hobbit",J.R.R. Tolkien,Fantasy,"A prequel to 'The Lord of the Rings,' following the adventures of Bilbo Baggins as he embarks on a quest.",9780345534835,12.99,14,Del Rey,1937,United Kingdom
"The Alchemist",Paulo Coelho,Fiction,"A philosophical novel about a young shepherd who sets out on a journey to discover his personal legend.",9780062315007,8.99,22,HarperOne,1988,Brazil
"Jane Eyre",Charlotte Bronte,Classic,"A coming-of-age story of a young governess named Jane Eyre and her struggles for independence and love.",9780141441146,7.99,16,Penguin Classics,1847,United Kingdom
"The Da Vinci Code",Dan Brown,Thriller,"A thriller novel that follows a symbologist's quest to uncover a hidden secret guarded by a secretive organization.",9780307474278,10.99,13,Anchor,2003,United States
